NEIGHBORHOOD,MAP NAME,MTA DATA SET IDENTIFIER
Upper East Side,86 ST-2 AVE 456,86 ST-2 AVE
Upper East Side,96 ST-2 AVE 456,96 ST-2 AVE
Upper East Side,96 ST Q,96 ST
Upper East Side,77 St,77 ST
Upper East Side,72 St,72 ST
Upper East Side,68ST-HUNTER,68ST-HUNTER
Upper East Side,LEXINGTON AV/53,LEXINGTON AV/53
Upper East Side,5 Av/59 St(NRW,5 AV/59 ST
Upper East Side,59 St(456),59 ST
Upper West Side,Cathedral Pkwy(110st),CATHEDRAL PKWY
Upper West Side,103 st,103 ST
Upper West Side,96 st,96 ST
Upper West Side,86th St,86 ST
Upper West Side,79 St,79 ST
Upper West Side,72 St,72 ST
Upper West Side,66 ST-LINCOLN,66 ST-LINCOLN
Upper West Side,59 ST COLUMBUS,59 ST COLUMBUS
Midtown East,Lexington Av/53,LEXINGTON AV/53
Midtown East,51 St ,51 ST
Midtown East,GRD CNTRL-42 ST,GRD CNTRL-42 ST
Midtown East,33 St,33 ST
Midtown East,28 St,28 ST
Midtown East,23 St(456),23 ST
Midtown East,ST-UNION SQ LNQR456W,14 ST-UNION SQ
Lower West Side,14 St(FM),14TH STREET
Lower West Side,14 St(ACE),14 ST
Lower West Side,CHRISTOPHER ST,CHRISTOPHER ST
Lower West Side,HOUSTON ST,HOUSTON ST
Lower West Side,Canal St,CANAL ST
Lower West Side,Franklin St,FRANKLIN ST
Lower West Side,CHAMBER ST,CHAMBER ST
Lower West Side,WORLD TRADE CTR,WORLD TRADE CTR
Lower West Side,PATH WTC 2,PATH WTC 2
Lower West Side,Rector St,RECTOR ST
Lower West Side,Bowling Green,BOWLING GREEN
Lower West Side,W 4 ST-WASH SQ,W 4 ST-WASH SQ
Lower West Side,BLEECKER ST,BLEECKER ST
Lower West Side,SPRING ST,SPRING ST
Lower West Side,CANAL ST,CANAL ST
Lower West Side,CORTLAND ST,CORTLAND ST
Lower West Side,WALL ST,WALL ST
Lower West Side,PARK PLACE,PARK PLACE
Lower West Side,PRINCE ST,PRINCE ST
BROOKLYN,CLARK ST,CLARK ST
BROOKLYN,BOROUGH HALL,BOROUGH HALL
BROOKLYN,BERGEN ST,BERGEN ST
BROOKLYN,CARROLL ST,CARROLL ST
BROOKLYN,HOYT-SCHER,HOYT-SCHER
BROOKLYN,NEVIN ST,NEVIN ST
BROOKLYN,JAY ST-METROTEC,JAY ST-METROTEC
BROOKLYN,HIGH ST,HIGH ST